text,class
"b'insane ( but inspired ) musical about alferd packer , the first man ever tried for cannibalism in america . \nas the story unfolds we learn what events led to packer ( trey parker ) supposedly killing and eating the five men who got lost while accompanying him through the mountains of colorado in search of gold . \nthroughout , packer must contend with evil trappers bent on stealing his prized horse , a tribe of `ute\' indians that doesn\'t seem quite on the mark , and a terrible winter storm that leads to the eventual cannibalism . \nparker obviously knows his musicals very well , because the viewer is also treated to some of the most maddeningly catchy songs to appear in a film ( he would accomplish this again in his post-cannibal ! \nmusical motion picture , south park : bigger , longer , and uncut ) . \napart from the inherent interest of seeing a pre- "" south park "" parker and stone in their first effort , cannibal ! \nalso offers up some pretty decent laughs . \nthe aforementioned `ute\' indian tribe that packer\'s group encounters is a definite highlight , as are two rousing musical numbers about snowmen ( one of which ends on a comedically deadly note ) . \nstone\'s humphrey character steals the show , especially when complaining about the prospect of having to `eat butt\' or revealing what\'s underneath his muff cap . \njason mchugh\'s character of mr . miller is the stand out performance though , as he offers a hilarious dissenting voice to the proceedings . \nas i mentioned before , parker\'s songs are very catchy . \nyou\'ll be hard pressed to get `it\'s a shpadoinkle day\' out of your head once you\'ve heard it ( incidentally , the braniff logo that appears at the end of every "" south park "" episode is scored with a few notes from this song ) . \nother songs you\'ll find yourself humming include `when i was on top of you\' ( a love ballad ) , `the trapper\'s song\' ( the villains leit motif ) , and `hang the bastard\' ( the rousing finale ) . \nthankfully , none of these songs are quite as embarrassing to find yourself singing in public as south park : bigger , longer & uncut\'s songs are . \nreleased as a pick-up through troma studios , the film is available on videocassette and dvd . \nthe videocassette includes an intro by the beautiful jane jensen and an interview segment with lloyd kaufman , discussing his admiration for parker and stone and the fact that they had been hired for a zucker brothers film ( which turned out to be the hilarious baseketball ) . \nthere are also multiple trailers for upcoming troma films . \nas for the dvd . . . \nwell , that\'s a different story . \nprobably one of the best dvd packages of the year ( and potentially of all time ) , cannibal ! \nthe musical ! \nthe dvd is a massive achievement . \npresented in 1 . 33 : 1 ( full frame ) only , the disc has the usual troma inclusions : the tour of troma , the troma intelligence test 2 , trailers for upcoming releases , but where the disc truly shines is in its cannibal ! \nspecific extras . \nthe first thing i must note is , the transfer is about as beautiful as any i\'ve ever seen on any disc . \nthe picture is crisp , clear , and free from any noticeable artifacts . \nadd to that one of the funniest commentary tracks i have ever heard , featuring trey parker , matt stone , jason mchugh , dian bachar , and andy kemler getting drunker and drunker as the track continues and you still haven\'t scratched the surface of the extras . \nthere\'s also behind the scenes footage of the shooting of the film , a clip with trey , matt , and lemmy ( of the band motorhead ) from the film terror firmer , an index for easy location of all of the songs in the film , and finally , an index of all the songs as performed by the cast of a stage production of cannibal ! . \nit\'s good to see this film finally get the treatment it deserves . \nkudos to the entire production staff at troma and aix for making one of the most entertaining dvds i have seen in a very long time . \n'",1
"b'written by david j . schow and john shirley , based on the comic book series and comic book strip by james o\'barr . \ncast brandon lee , ernie hudson , michael wincott , david patrick kelly , rochelle davis , and jon polito . \nmpaa rating "" r "" ( presumably for rape , language , and violence ) \nrunning time 100 minutes \n "" looks like he zigged when he should\'ve zagged . "" \n- ernie hudson , as a police officer commenting on a suspicious death . \ncomic book translations are notorious tricky-- anyone up for a double-bill of the punisher and captain america ? -- and the crow proves no exception . \ndespite a gross of good intentions , brandon lee\'s final film doesn\'t fly very high . \nthe story opens on halloween eve , better known as devil\'s night . \nwilmington-as-detroit is in flames and the police are tending to at least * one * murder : young rock-musician-turned-pavement-artist eric draven ( lee ) , found on a sidewalk six-stories below the apartment he was thrown from . \nthe cops are also upstairs , administering aid to his fiance who was assaulted and raped and not necessarily in that order . \nshe dies , the perps . \nescape , and , exactly one year later , draven rises from the grave to wreak revenge . \nsound familiar ? \nunlike charles bronson , whose only known superpower involves an inability to refrain from filming death wish sequels , lee\'s character has supernatural strength and amazing agility and can even reheal from gunshot wounds faster than robert patrick in terminator 2 . by his side is his crow , the presumable source of his powers as related in the narration . \nwearing what appears to be alice cooper\'s leftover make-up , lee is plopped into an underlit urban landscape that was obviously modeled after batman and blade runner . \nbut no number of red-lit , rain-soaked streets can compensate for cheap fx that make the crow seem closer to darkman than batman . \n ( the glaring miniatures should show better on video , though . \n : ) \na nod to darkman is an insult to sam raimi , though , because alex proyas can\'t film a decent action scene to save his life . \nhis two "" best "" set-pieces-- some banzai board-room butchery and a cool church- roof sword fight-- are also undercut by the awful editing of dov hoenig and scott smith . \nblame said editors for the film\'s frightful flashbacks , as well . \nbut the pace is quick , thank god , and every good-idea-turned-bad is over before it begins . \nthe cast is better than it should be . \nernie hudson is a good choice as a friendly policeman and he gets off most of the film\'s funnier lines . \nnewcomer rochelle davis does well as both the narrator and draven\'s scrappy ward . \njon polito has a small , succulent role as pungent pawnbroker . \nand michael wincott makes a distinct impression as a long-haired mr . big whose collection of ancient-swords makes him seem like he walked into the film from the trailer to highlander iii . \nthere can be only one . \nfinally , there\'s brandon lee , son of bruce lee , and a 28-year-old rising-star who was fatally shot during shooting . \nlee had four films to his name-- kung fu : the movie , laser mission , showdown in little toyko , and rapid fire-- and the crow would\'ve been a nice feather in his belt and that\'s about it . \nthere\'s nothing great from him here-- just a good performance that owes as much to presence as ability . \nwhen the echo of that gunshot finally fades , watching the crow should prove an even * less * remarkable experience . \ndespite a healthy dose of humor and some surprising sincerity , the crow is still just a couple notches above its straight-to-video brethren . \nfor now , maybe it\'s an appropriate eulogy to an actor who could only get better . \n'",0
"b'miramax "" disinvited "" on-line media from press screenings of scream 3 . \nthey ostensibly feared that folks like me would write spoiler-filled reviews and post them prior to the film\'s february 4th release date-unsound reasoning . \nyou see , \'net critics established enough to be on any sort of vip list are professionals-miramax surely knows the difference between a member of the on-line film critics society ( ofcs ) and the type of fanboy who posts spy reports at ain\'t it cool news . \nno , the ? mini major\' was afraid we\'d let a bigger cat out of the bag than whodunit , that scream 3 is a dismal conclusion to the beloved ( by this writer , at least ) franchise . \nsomething smells rotten in the state of california right from the get-go : cotton weary ( liev schrieber ) , the former lover and would-be killer of maureen prescott , sidney\'s mother , is juggling phone calls in his luxury car . \n ( once considered a danger to society , weary now hosts his own talk show , "" 100% cotton "" , a clever , if dated , jab at american pop culture . ) \nof course , a new ghostface dials him up , and , with memories of scream\'s unbearably suspenseful prologue in mind , we immediately wonder , where is the killer ? \nthe backseat ? \nthe next car ? \nthrilling prospects , to be sure , but actually , ghostface is at the weary residence , waiting for cotton\'s girlfriend ( kelly rutheford ) to finishing showering . \nwhat\'s missing from this sequence , and indeed scream 3\'s remaining frights ( most disappointingly , the moment when an ingenue is forced to hide in a wardrobe room filled with ghostface costumes , one of which might spring to life ) , is an elaborate and attenuated payoff . \nour other surviving regulars have become estranged . \nsidney ( campbell ) is living a paranoid existence of electronic gates and password-protected locks , while dewey ( arquette ) acts as technical advisor on the second sequel to scream 2\'s movie-within-a-movie , "" stab 3 "" , and gale weathers ( cox arquette ) headlines a gossipy news program . \nmurder reunites them , as knife-wielding ghostface stalks the set of "" stab 3 "" , imitating its sadistic screenplay-and his/her/their own personal draft climaxes with sidney\'s death . \nthe appeal of ghostface\'s villainy is that he/she/they could be your boyfriend , your classmate , your next door neighbour . . . or a combination of people . \nscream was the first of its kind : a slasher mystery , with the guessing game not only entailing who will be next , but also who is/are the perpetrator ( s ) and what is/are his/her/their motive . \nironic self-reflection aside , parts one and two stand out in a crowd that includes umpteen friday the 13th and halloween flicks because there\'s at last articulate human beings behind the iconic costume . \nwith scream 3 , the novelty of ghostface\'s ever-mutating identity has worn off some , but the character remains conceptually potent . \nconceptually . the execution of ghostface\'s master plan this time around is creaky , because screenwriter ehren kruger has invented a new mythology for the world of sidney prescott far afield from what we\'d come to understand in scream and scream 2 . the movie gets in the silly habit of saying "" all bets are off ! "" \nin reference to the "" rules "" of a trilogy\'s third act , but there\'s a difference between rule breaking and cheating . \nwith the departure of kevin williamson , who authored the previous screams as well as a tidy outline for scream 3 ( that , for reasons incomprehensible to me , was ignored , save the notion of "" stab 3 "" ) , kruger needed to be reined in tighter , and by wes craven . \ncraven\'s direction of scream 3 is lazy in most respects . \nhow else to explain the jay and silent bob cameo ( the slacker duo of kevin smith movies ) , akin to seeing mickey mouse pop up in mulan and more distracting than funny . \nit pains me to write this , but scream 3\'s comedy is generally laughless , with the exception of well-timed performances by josh pais ( as a police detective possessed of the same personality he had as a persnickety teacher in craven\'s music of the heart ) , jamie kennedy ( resurrecting film geek randy for the sendoff he was denied in scream 2 ) , and parker posey ( through sheer force of will as a b-actress ) . \nthe visuals are much weaker in part three , as well-the occasional sweeping gesture of peter deming\'s camera is a pale imitation of the stalking steadicam craven gave us twice before . \n ( aside : in the wake of columbine , craven toned down the violence significantly for scream 3-why the sanctimony , when scream and scream 2 are still readily available on video store shelves ? ) \nfinally , marco beltrami\'s music cues the suspense too blatantly-do you recall the tense chase at the college radio station in scream 2 ? it\'s mostly silent . \nsting notes are a whole lot more effective if they spring from nowhere ; here , they act as the crescendos of an incessantly nerve-jangling score . \ni look at scream 3 as coming from an alternative universe , the same place that birthed the godfather part iii and superman iii-woefully out of synch with its prequels , scream 3 is a nightmare instead of nightmarish , and will likely put the horror genre back in mothballs . \nthe film unintentionally follows the unspoken rule of a trilogy to a t : ? part three must disappoint\' . \n'",0
"b'in "" the astronaut\'s wife , "" charlize theron plays a young woman with a nervous demeanor , pixie-hairdo and demon spawn unwittingly growing in her belly . \nif only her name wasn\'t jillian , the makers of this embarrassing bit of sci-fi shlock could have come up with a far more appropriate title : "" rosemary\'s species . "" \nwhat a shame it is to see such a gifted actress as theron - oscar-worthy in "" the devil\'s advocate "" - struggle with the lamest rip-off of a screendom classic in recent memory . \nok , maybe "" the astronaut\'s wife "" deviates from "" rosemary\'s baby "" turf for its set-up , which finds our heroine terrorized not by satan\'s minions but her possessed husband ( johnny depp ) , a shuttle pilot whose mission mishap leaves him , um , a changed man . \npredictably , he and the missus get it on in a sequence best described as unpleasant , his evil seed impregnating her with twins and realizing that great "" bowfinger "" line about "" alien love . "" \ntheron\'s "" advocate "" character faced a similar dilemma , the horror there resonating strongly . \n "" astronaut "" provides only artificial anxiety . \nlast year\'s equally noodle-headed "" species ii "" spun a similar premise about the breeding habits of an extraterrestrial on earth , but at least that movie more or less knew it was garbage . \n "" the astronaut\'s wife "" is grave and humor-free , passing its increasingly silly story off as full-fledged serious , right down to an ambiguous finale that isn\'t even going to satisfy those who\'ve stayed with it thus far . \nhere\'s a hint : it involves lots of water , electrical equipment , a special effect from "" the abyss "" and the tots who doubled up as adam sandler\'s co-star in "" big daddy . "" \ndraw your own conclusions . \ndirector/writer rand ravich coats the proceedings in dynamic sights masterminded by legendary "" e . t . "" \ncinematographer allen daviau , but too often favors the film\'s visual presentation over the story he\'s trying to tell . \nthis bodes horribly for each dramatic development , like the surfacing of a suspicious nasa official ( "" speed "" \'s joe morton ) to instigate jill\'s slow and stupid comprehension of the truth . \nhis hyper-erratic behavior is probably supposed to give wife a paranoid edge . \ninstead , he adds to the phoniness . \ntheron and depp are certainly beyond this junk and will get other chances to prove themselves this fall - she as part of an imposing ensemble case in the john irving adaptation "" cider house rules , "" he in the lead of tim burton\'s eagerly-awaited "" sleepy hollow . "" \nundeserving of such talent , "" the astronaut\'s wife "" manages to be derivative , dull and uninvolving despite its seemingly ripe potential for unintentional laughs . \nin space , no one can hear you scream . \nbut in a movie theatre , everyone can hear you snore . \n'",0
"b'one of the 90s\' most unwelcome thriller trends returns from the grave : it\'s the "" ___ from hell "" movie ! \nstarting in the early nineties , we were subjected to nearly every conceivable combination of relationships-from-hell ! \nthere were boyfriends from hell , friendly neighborhood cops from hell , nannies from hell , and even secretaries from hell . \nbut hush has found an old standby that somehow was forgotten in the rush : the mother-in-law from hell ! ! ! ! ! \nthe mother-in-law in question is martha , played by jessica lange . \nshe has been single-handedly running the family horse farm , kilronan . \nher son , jackson ( johnathon schaech ) and his girlfriend , helen ( gwyneth paltrow ) , live in new york , and have no intention to move back down south to the rural kilronan . \nbut those intentions are about to change . \nyou see , martha lives by manipulation . \nshe has used it in years past to breed many championship horses . \nnow , she believes she can use it to breed herself a grandson . \nthough at first , helen finds martha charming , soon she is caught in the domineering martha\'s web of deception . \nit\'s hard to understand why nobody ever wises up to martha\' schemes . \nas written , most of the characters in the film must be very slow witted . \nbut then , the film even treats the audience like idiots . \nit tries to get away with things ( like leaving a critical piece of evidence in a rather unlikely place ) without even batting an eye . \nthen again an audience which accepts characters as shallow as these isn\'t one that\'s likely to question details . \njessica lange\'s martha is the only semi-developed character in the film , and she applies her talents to redeem it as much as she can . \na character that could have been simply awful is merely groan-worthy . \ngwyneth paltrow doesn\'t have much to build upon , as helen\'s only character trait seems to be "" daughter-in-law "" . \nstill , she fares better than johnathon schaech , whose character is so nonexistent , he\'s inexplicably missing for much of the film . \nstill , there have been much worse "" ____ from hell "" films . \neven with its paper-thin characters and ludicrous setups , hush manages to create a few thrills in a color-by-numbers fashion . \nyou know what\'s coming , but occasionally the film will deliver a shock or two . \nthe old formulas are around for a reason , but that doesn\'t mean they taste fresh . \n'",0
"b"" ( dreamworks skg ) running time : 2 hours starring robert duvall , tea leoni and elijah wood directed by mimi leder the first of the two asteroid movies coming out this year ( the second is the macho armageddon ) is actually a dull affair . \nelijah wood plays leo biederman , who during astronomy class discovers that a large asteroid is heading for earth . \ntea leoni plays a ( rather crap ) news reporter , jenny lerner , who soon discovers about this asteroid through a very long winded and boring way , and robert duvall plays the leader of a space crew , spurgeon tanner , who are planning to blow the asteroid out of the path of earth . \nalso featuring is morgan freeman as the president , and maximilian schell and vanessa redgrave as jenny's father and mother . \nwhile many people will walk into the film expecting a big special effects fest with the asteroid blowing everything up ( as the trailers seem to promise ) , the film is actually more of a character study , if a very poor one . \nthe main problem is that there are too many characters in the film , and not enough time to explore them all . \nonly the space crew are given any depth , jenny lerner , leo and the president are surprisingly 2d , and we never get to know these characters . \nand because i couldn't care for them , i didn't really give a crap if the asteroid killed them or not . \nthe script by bruce joel rubin and michael tolkin is horribly simple , and never really makes any interesting statements . \nmimi leder , the former er director and director of the average the peacemaker ( 1996 ) , again directs in a ho-hum style , and never really gets any emotion out of a scene , which is a shame . \nthe cast are seemingly on autopilot , although tea leoni does gives a rather good performance , even if she acts a bit too dorky for her own good . \nshe seems uncommonly stupid for a journalist . \nrobert duvall is on autopilot with a underwritten role , he just seems to be in this film for the money . \nelijah wood , one of the best child actors working today , is surprisingly average , although his choice of roles lately haven't exactly been brilliant ( i . e . \nflipper , 1996 ) . \nhis role is also vastly underwritten . \nmorgan freeman , again , is utterly wasted with a ridiculously underwritten role . \nlike duvall , he just seems to be in the film for the money . \nthe supporting cast are all o . k , none making much of an impression . \nok , so deep impact may have messed up character wise , but surely the special effects are good ? \nwell , yes and no . \nalthough the special effects should be impressive , with a massive tidal wave destroying new york , the special effects look like , well , special effects . \nsadly , the waves looks like it's been drawn on computer , and doesn't look too good at all . \nsurprising really , when the effects are done by industrial light & magic , who did the effects for the lost world and twister . \nin the end , deep impact is a wasted opportunity . \nwhat could of been a moving movie with good effects turns out to be a dud in both characters and effects . \nthe 2 hours the film had could have been used to much greater effect . \nonce again , dreamworks has churned out another average movie . \nlet's hope armageddon is a bit better . \noverall rating= review by david wilcock web space provided by geocities \n""",0
"b'it\'s a shame the execution of this concept falls very short of its premise . \nthe movie is lacking and most unsatisfying . \nosmosis jones is crude , gross , disgusting , and was directed by the farrelly brothers - the twisted siblings behind there\'s something about mary , me , myself and irene and a couple of other movies in which the humor is mostly targeted below the belt . \nnot that there\'s anything wrong with scatology . \ni bet even cavemen appreciated bathroom humor - such as it was . \nit\'s merely that with osmosis jones , the farrellys humor is too juvenile , too predictable . \nyou can almost foresee the puns just by viewing the part of the inner anatomy a sequence is drawn . \nosmosis jones looks like one of those old health class movies gone psycho . \nthe trouble is , the animation may please the very young , but the jokes may be over their heads , while the teen-age audience may find it too tame for their tastes . \nadults ? well , let\'s just say most will find it unappetizing . \nosmosis jones plays like a 100-minute infomercial for the eat healthy foods lobby . \nthe live action sequences revolve around frank ( bill murray ) , who seems to be the grungiest human being in the universe . \nhe continually looks as if he needs a shave and a shower . \nfrank , much to the consternation of his daughter , is a fast-food addict , eating anything - and everything - that can kill you . \nhe works at a zoo where the animals look cleaner - and presumably smell better - than he does . \nfrank\'s body is invaded by thrax , a lethal virus , after frank eats a hard-boiled egg that had fallen to the ground . \nit\'s not gross enough that frank picks the egg up from the dirt and plops it into his mouth . \nnope , the farrellys pile it on by first having frank wrestle a chimp for the egg , wresting it from the primate\'s mouth . \nlike i said , the gross meter tips the scales on this one . \nafter ingesting the egg , the movie begins its animated sequences . \nhere , osmosis jones ( voiced by chris rock ) , a renegade white blood cell is teamed with drix ( voiced by frasier\'s david hyde pierce ) , a 12-hour , painkiller cold capsule to battle thrax ( smoothly voiced by laurence fishburne ) . \nbasically , what we have is a cliched cop-buddy movie , rife with all the clich ? s of that genre . \nand this is why osmosis jones doesn\'t click . \nit merely falls back on tired , familiar conventions instead of creating new and exciting situations . \nthe jokes and puns are lame : osmosis searches out a snitch , a former flu virus . \nafter pumping him for information , drix tells osmosis , "" funny , he doesn\'t look fluish . "" \nand the jokes don\'t rise above that level . \nthe live action scenes are no better . \nfrank is such a slob , so unappealing that it is difficult to fathom how he ever married or even sired a child . \nhe\'s almost a bigger cartoon than the animated characters . \nosmosis jones is a movie that may be too violent for young children as thrax burns and dissolves blood cells right and left . \nthe animation is rather two-dimensional and flat . \nit lacks scope and depth . \nit is an unappealing movie that will leave you scratching your head , and maybe leaning toward a shower after you walk out of the theater . \n'",0
"b'darren ( jason biggs ) , wayne ( steve zahn ) , and j . d . ( jack black ) have been best friends since the fifth grade . \nlike the three musketeers , they\'ve been together through thick and thin . \nbut , when darren meets an attractive , but cold-blooded and manipulative , psychiatrist , judith ( amanda peet ) , the long time friendship is placed in danger . \nit\'s up to wayne and j . d . to rescue their best friend in "" saving silverman . "" \n "" silverman "" has its heart in the right place , but the story , by newcomers hank nelken and greg depaul , is too lightweight to sustain the tale of the battle for darren\'s soul . \nbased on their experience of a friend making a major marital mistake , the story is centered on the three , life long amigos . \nwhen wayne introduces darren to judith , he doesn\'t realize that he has opened a pandora\'s box of disaster for himself and j . d . judith was once in a relationship where her boyfriend was the dominant figure until he died in a kick boxing match . \nsince then , she has sought a new mate - someone she can boss around and mold into her own vision . \nenter darren silverman . \nonce they realize the magnitude of their error in judgement , wayne and j . d . try everything they can , including threats and bribery , to get judith to free darren . \nnothing works until the duo come up with a plan - kidnap judith and get darren back together with the girl he called his one and only , pretty sandy perkus ( amanda detmer ) . \nthe only problem here is that sandy is about to take her vows to become a nun . \nthings spiral out of control as judith repeatedly attempts to escape while wayne and j . d . play cupid . \nthe boys even bring their idol , neil diamond , into the picture to help resolve things . \nthinking about it , this is a real mishmash of contrivance and coincidence that is held together solely by the comedic efforts of steve zahn and jack black . \nthe pair is able to elicit the film\'s only laughs with their goofy antics and child-like behavior . \nthey are relegated to providing slapstick guy humor and the two are more than equal to the task . \nsteve zahn has been steadily honing his comedic acting skills and gives some complexity to wayne , the "" brains "" of the gang . \njack black has the big-guy moves of a chris farley , giving j . d . an amusing physical presence . \nthe neat thing is that the two actors are able to get fresh laughs from stale material . \nthe rest of the cast doesn\'t fare as well , though . \njason biggs is the straight man of the musketeers and gets very little to do ; though having watched his previous films ( "" american pie "" and "" loser "" ) i\'m not sure what attraction biggs actually has . \namanda peet is caustic as the manipulative judith . \nthere is no humanity at all to her character as she single-mindedly strives to recreate darren into her mind\'s image . \nshe\'s a monster that wayne and j . d . must defeat to save their friend . \nunfortunately , there is no dimension to her character . \namanda detmer brings nothing ( or gets nothing ) as darren\'s one and only . \nr . lee ermey , as the psychotic coach , made a bad decision taking this role . \ntune-meister neil diamond gives a good-natured cameo perf as the boys\' idol and savior . \nproduction values are on par with the rest of the film - lackluster and non-involving . \ndirector dennis dugan has a track record for broad comedy with films like "" big daddy "" and "" beverly hills ninja , "" but falls flat with "" saving silverman . "" \nthe 2001 movie year has yet to provide us with a "" good "" film to sink our teeth into . \nat least , with "" saving silverman , "" we get a couple of funny perfs from zahn and black . \ntoo bad that the rest of the film lacks their level of humor . \nkick boxing deaths and conflicted nuns are not the makings of a good comedy . \ni give it a c- . \n'",0
"b""in this good natured , pleasent and easy going comedy , bill murray ( ghostbusters , 1984 ) plays grumpy weatherman phil conners , who , every year , is sent to punxsutawney , p . a , to report on groundhog day . \nthe groundhog day ceremony involves a groundhog being lifted out of a box , and if he dosen't see a shadow , it will be an early spring . \nphil really hates the ceremony , and not even his producer rita ( macdowell ) can change his mind . \nhowever , fate has a cruel trick for phil , and he starts re-living groundhog day over , and over , and over , until he gradually likes it , and rita falls in love with him . \ngroundhog day is a well written , totatly unoffensive and funny comedy . \nthe screenwriters , director ramis and danny rubin , have written a funny , warm , but never overly senitmental comedy . \nalthough the idea of a day repeating over and over may sound tedious , there are enough good jokes to hold the audiences attention throughout the whole film . \nramis's direction also helps , and although he dosen't try any flash director tricks , the film is directed well enough , and the jokes are set up well . \nand the editing is also good , especially when it shows one part of the day over , and over again , such as when phil tries to have the perfect night with rita . \nthe performances are also excellent . \nbill murray is great fun , and his transistion from cynical to happy is smooth , and delivers his lines in his usual smary style . \nandie macdowell is good as rita , although sometimes she is just a little bit too sweet in some parts of the film . \nthere is chemistry between the two leads , thankfully , otherwise the whole film would probably fall part . \nchris elliot , as the cameraman larry , is also funny , although you have to like his goofy style , otherwise you are really going to hate him throughout this film , and it will lower your enjoyment of the film overall . \nthe supporting cast aren't bad either , with stephen tobolowsky hillarous as phils old school mate ned ryanson , and even director ramis popping up as a neurologist . \nin fact , there is not one dud performance in this film , and even the groundhog gets a funny scene involving a car chase . \noverall , there is really nothing wrong with groundhog day at all . \nit almost seems perfect . \nhowever , the film can get a bit soppy sometimes , and some people may get irritated by the day repeating over , and over , and over , and over . \nalso , there's not much of an music score , and the music there is is pretty bad . \nbut these criticisms hardly affect the audiences enjoyment at all . \noverall , then , groundhog day is a funny , smart , and also has some room in there for some heart . \nan excellent comedy . \noverall rating= ( \n""",1
"b""director jan de bont certainly knows how to make top quality action films . \nyou need look no further than die hard ( he was director of photography ) , speed and last years twister for examples of his hi- octane , edge of your seat thrill prowess . \nspeed 2 is no exception . \nthis time , the action takes place on a huge cruise liner , on which sandra bullock and jason patrick are trying to develop their relationship . \nyep , that's right , no keanu reeves this time , but fear not , jason patrick is more than up to the job . \nspeaking of which , the job at hand is to stop completely bonkers terrorist , willem dafoe , from crashing the liner into a huge island , after stealing a diamond collection . \nthe reason for this act of destruction is revenge . \nafter years of working for the company that builds cruise liner computers , he contracts copper poisoning and is retired . \nnaturally , what entails next is a lot of running/jumping about and general high quality action as jason patrick does his level best to save the day . \nthinking back on this film , you can't help , but admire it's structure . \nthe way , willem dafoe initiates his plan and throws red herrings to the crew and passengers . \nthe race against time to save the liner from crashing , and of course , the finale chase scence . \n ( although this is ruined by an over the top , one too many stunt and explosion . ) \nsimple in construction , effective in it's execution , and the result , a clear and concise , highly enjoyable action film . \nthe acting is adequate , although it's darned obvious that sandra bullock is only in it to create a 'hot totty' appeal to the men ( and she does that perfectly ! ) , jason patrick fills the action hero role superbly and willem dafoe is just great as the crazed terrorist . \noverall , speed 2 is a most enjoyable thrill ride . \nnot up to it's predecessor's high calibre but very good all the same . \nthere is plenty going on , some of the thrills are quite tense and it also proves that you do not need blood and guts to make a good action movie . \n""",1
